2018-03-21 20:35:25 status unpacked klibc-utils:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:25 status unpacked klibc-utils:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:25 install cpio:amd64 <none> 2.11+dfsg-5ubuntu1
2018-03-21 20:35:25 status half-installed cpio:amd64 2.11+dfsg-5ubuntu1
2018-03-21 20:35:25 status unpacked cpio:amd64 2.11+dfsg-5ubuntu1
2018-03-21 20:35:25 status unpacked cpio:amd64 2.11+dfsg-5ubuntu1
2018-03-21 20:35:25 install kmod:amd64 <none> 22-1ubuntu5
2018-03-21 20:35:25 status half-installed kmod:amd64 22-1ubuntu5
2018-03-21 20:35:25 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:25 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:25 install initramfs-tools-core:all <none> 0.122ubuntu8.10
2018-03-21 20:35:25 status half-installed initramfs-tools-core:all 0.122ubuntu8.10
2018-03-21 20:35:25 status unpacked initramfs-tools-core:all 0.122ubuntu8.10
2018-03-21 20:35:25 status unpacked initramfs-tools-core:all 0.122ubuntu8.10
2018-03-21 20:35:25 install linux-base:all <none> 4.0ubuntu1
2018-03-21 20:35:25 status half-installed linux-base:all 4.0ubuntu1
2018-03-21 20:35:25 status unpacked linux-base:all 4.0ubuntu1
2018-03-21 20:35:25 status unpacked linux-base:all 4.0ubuntu1
2018-03-21 20:35:25 install initramfs-tools:all <none> 0.122ubuntu8.10
2018-03-21 20:35:25 status half-installed initramfs-tools:all 0.122ubuntu8.10
2018-03-21 20:35:25 status unpacked initramfs-tools:all 0.122ubuntu8.10
2018-03-21 20:35:25 status unpacked initramfs-tools:all 0.122ubuntu8.10
2018-03-21 20:35:25 install console-setup:all <none> 1.108ubuntu15.3
2018-03-21 20:35:25 status half-installed console-setup:all 1.108ubuntu15.3
2018-03-21 20:35:25 status unpacked console-setup:all 1.108ubuntu15.3
2018-03-21 20:35:25 status unpacked console-setup:all 1.108ubuntu15.3
2018-03-21 20:35:25 install less:amd64 <none> 481-2.1ubuntu0.2
2018-03-21 20:35:25 status half-installed less:amd64 481-2.1ubuntu0.2
2018-03-21 20:35:25 status unpacked less:amd64 481-2.1ubuntu0.2
2018-03-21 20:35:25 status unpacked less:amd64 481-2.1ubuntu0.2
2018-03-21 20:35:25 install libexpat1:amd64 <none> 2.1.0-7ubuntu0.16.04.3
2018-03-21 20:35:25 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:25 status half-installed libexpat1:amd64 2.1.0-7ubuntu0.16.04.3
2018-03-21 20:35:25 status unpacked libexpat1:amd64 2.1.0-7ubuntu0.16.04.3
2018-03-21 20:35:25 status unpacked libexpat1:amd64 2.1.0-7ubuntu0.16.04.3
2018-03-21 20:35:25 install libffi6:amd64 <none> 3.2.1-4
2018-03-21 20:35:25 status half-installed libffi6:amd64 3.2.1-4
2018-03-21 20:35:25 status unpacked libffi6:amd64 3.2.1-4
2018-03-21 20:35:25 status unpacked libffi6:amd64 3.2.1-4
2018-03-21 20:35:25 install libnettle6:amd64 <none> 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 status half-installed libnettle6:amd64 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 status unpacked libnettle6:amd64 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 status unpacked libnettle6:amd64 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 install libhogweed4:amd64 <none> 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 status half-installed libhogweed4:amd64 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 status unpacked libhogweed4:amd64 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 status unpacked libhogweed4:amd64 3.2-1ubuntu0.16.04.1
2018-03-21 20:35:25 install libidn11:amd64 <none> 1.32-3ubuntu1.2
2018-03-21 20:35:25 status half-installed libidn11:amd64 1.32-3ubuntu1.2
2018-03-21 20:35:25 status unpacked libidn11:amd64 1.32-3ubuntu1.2
2018-03-21 20:35:25 status unpacked libidn11:amd64 1.32-3ubuntu1.2
2018-03-21 20:35:25 install libp11-kit0:amd64 <none> 0.23.2-5~ubuntu16.04.1
2018-03-21 20:35:25 status half-installed libp11-kit0:amd64 0.23.2-5~ubuntu16.04.1
2018-03-21 20:35:25 status unpacked libp11-kit0:amd64 0.23.2-5~ubuntu16.04.1
2018-03-21 20:35:25 status unpacked libp11-kit0:amd64 0.23.2-5~ubuntu16.04.1
2018-03-21 20:35:25 install libtasn1-6:amd64 <none> 4.7-3ubuntu0.16.04.3
2018-03-21 20:35:25 status half-installed libtasn1-6:amd64 4.7-3ubuntu0.16.04.3
2018-03-21 20:35:25 status unpacked libtasn1-6:amd64 4.7-3ubuntu0.16.04.3
2018-03-21 20:35:25 status unpacked libtasn1-6:amd64 4.7-3ubuntu0.16.04.3
2018-03-21 20:35:25 install libgnutls30:amd64 <none> 3.4.10-4ubuntu1.4
2018-03-21 20:35:25 status half-installed libgnutls30:amd64 3.4.10-4ubuntu1.4
2018-03-21 20:35:25 status unpacked libgnutls30:amd64 3.4.10-4ubuntu1.4
2018-03-21 20:35:25 status unpacked libgnutls30:amd64 3.4.10-4ubuntu1.4
2018-03-21 20:35:25 install libsqlite3-0:amd64 <none> 3.11.0-1ubuntu1
2018-03-21 20:35:25 status half-installed libsqlite3-0:amd64 3.11.0-1ubuntu1
2018-03-21 20:35:26 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1
2018-03-21 20:35:26 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1
2018-03-21 20:35:26 install openssl:amd64 <none> 1.0.2g-1ubuntu4.10
2018-03-21 20:35:26 status half-installed openssl:amd64 1.0.2g-1ubuntu4.10
2018-03-21 20:35:26 status unpacked openssl:amd64 1.0.2g-1ubuntu4.10
2018-03-21 20:35:26 status unpacked openssl:amd64 1.0.2g-1ubuntu4.10
2018-03-21 20:35:26 install ca-certificates:all <none> 20170717~16.04.1
2018-03-21 20:35:26 status half-installed ca-certificates:all 20170717~16.04.1
2018-03-21 20:35:26 status unpacked ca-certificates:all 20170717~16.04.1
2018-03-21 20:35:26 status unpacked ca-certificates:all 20170717~16.04.1
2018-03-21 20:35:26 install libroken18-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status half-installed libroken18-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libroken18-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libroken18-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libasn1-8-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
